,surname,name,org,region,year
202,Бокова,Людмила,Совет Федерации РФ,Россия,2016
203,Ван Экхат,Дирк,Совет Европы,Бельгия,2016
204,Воробьёв,Андрей,Координационный центр национального домена сети Интернет,Россия,2016
205,Воронина,Елена,MSK-IX,Россия,2016
206,Грицай,Георгий,Ассоциация «Открытая сеть»,Россия,2016
207,Демидов,Олег,ПИР-Центр,Россия,2016
208,Донк,Фредерик,Internet Society (ISOC),Бельгия,2016
209,Дрейк,Уильям,Университет Цюриха,Швейцария,2016
210,Исмаилов,Рашид,Министерство связи и массовых коммуникаций Российской Федерации,Россия,2016
211,Касенова,Мадина,Дипломатическая Академия МИД РФ,Россия,2016
212,Кляйнвахтер,Вольфанг,Орхусский университет(Дания),Германия,2016
213,Конрад,Дэвид,ICANN,США,2016
214,Куликова,Александра,ICANN,Россия,2016
215,Левин,Леонид,Государственная Дума Федерального Собрания Российской Федерации,Россия,2016
216,Макарова,Ольга,ПАО «Мобильные ТелеСистемы»,Россия,2016
217,Мариничев,Дмитрий,RadiusGroup,Россия,2016
218,Медриш,Михаил,Фонд содействия развитию интернета «Фонд поддержки интернет»,Россия,2016
219,Мурзина,Анна,European Union Delegation to the Russian Federation,Россия,2016
220,Паловирта,Маарит,Internet Society (ISOC),Бельгия,2016
221,Пеннинкс,Патрик,Совет Европы,Франция,2016
222,Стрельцов,Анатолий,Институт проблем информационной безопасност МГУ им. В.М.Ломоносова,Россия,2016
223,Тодоров,Леонид,APTLD,Россия,2016
224,Чжу,Цун,CNNIC,Китай,2016
225,Шепилов,Александр,Совет Федерации Федерального Собрания Российской Федерации,Россия,2016
226,Шлегель,Роберт,Государственная Дума РФ,Россия,2016
227,Якушев,Михаил,ICANN,Россия,2016
228,Ярных,Андрей,АО «Лаборатория Касперского»,Россия,2016
229,Анисимов,Михаил,Координационный центр доменов .RU/.РФ,Россия,2017
230,Воробьев,Андрей,Координационный центр доменов .RU/.РФ,Россия,2017
231,Гаэтано,Роберто Цезарэ,Public Interest Registry,Австрия,2017
232,Демидов,Олег,ПИР-Центр,Россия,2017
233,И,Шень,Фуданьский университет,Китай,2017
234,Колесников,Андрей,Ассоциация интернета вещей,Россия,2017
235,Куликова,Александра,ICANN,Россия,2017
236,Мариничев,Дмитрий,RadiusGroup,Россия,2017
237,Паловирта,Маарит,Internet Society (ISOC),Бельгия,2017
238,Пеннинкс,Патрик,Совет Европы,Франция,2017
239,Плуготаренко,Сергей,РАЭК,Россия,2017
